ハクチカラ(59年WBH1着),トビサクラ,昇城,月城,ダイオライト,フライアースメードン,プリメロ,Blandford,Athasi,Friar Marcus,Tetranch Girl,Diophon,Needle Rock,Campfire,星旗
フジノオー(67年レルミット賞1着),ブリッカバック,ベルノート,Golden Emblem,Midstream,Bloodroot,War Admiral,Man o'War,Brushup,Blue Larkspur,Knockaney Bridge,Blandford,Midsummer,Hall Mark,Hasta
スピードシンボリ(69年凱旋門賞着外),ロイヤルチャレンヂャー,スイートイン,フィーナー,ライジングライト,Skerweather,Royal Charger,Nearco,Sun Princess,Singapore,Nash Light,Hyperion,Bread Card,Orthodox,Sempronia
メジロムサシ(72年凱旋門賞18着),ワラビー,キヨハ,第弍オーイエー,プリメロ,Wagging Tail,Fast Fox,Fastnet,Foxcraft,Tourbillon,Foxtail,Blandford,Athasi,シアンモア,オーイエー
シリウスシンボリ(86年凱旋門賞14着),モガミ,スイートエプソム,シレトコ,パーソロン,ノーラック,Lyphard,Northern Dancer,Goofed,Lucky Debonair,No Teasing,Milesian,Paleo,タカウォーク,Pochette
シンボリルドルフ(86年サンルイレイS6着),パーソロン,スイートルナ,ダンスタイム,スピードシンボリ,Paleo,Milesian,My Babu,Oatflake,Pharis,Calonice,ロイヤルチャレンヂャー,スイートイン,Palestine,Samaritaine
フジヤマケンザン(95年香港国際1着),ラッキーキャスト,ワカスズラン,オキワカ,コントライト,タイプキャスト,マイスワロー,Le Levanstell,Darrigle,Prince John,Journalette,Never Say Die,Penitence,リマンド,ワカクモ
タイキシャトル(98年ジャックルマロワ2着),Devil's Bag,ウェルシュマフィン,Muffitys,Caerleon,Ballade,Halo,Hailo to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail
シーキングザパール(98年モーリスドゲスト賞1着),Seeking the Gold,ページプルーフ,バーブスボールド,Seattle Slew,Con game,Mr. Prospector,Raise a Native,Gold Digger,Buckpasser,Broadway,Bold Reasoning,My charmer,Bold Forbes,Goofed
アグネスワールド(99年アベイドロンシャン賞1着),Danzig,Mysteries,phydilla,Seattle Slew,Pas de Nom,Northern Dancer,Nearctic,Natalma,Admiral's Voyage,Petitioner,Bold reasoning,My charmer,Lyphard,Godzilla
エルコンドルパサー(99年凱旋門賞2着),Kingmambo,サドラーズギャル,Clenveagh,Sadler's Wells,Miesque,Mr. Prospector, Raise a Native,Gold Digger,Nureyev,Pasadoble,Northern Dancer,Fairy Bridge,Seattle Slew,Lisadell
アグネスデジタル(01年香港カップ1着),Crafty Prospector,Chancey Squaw,Allicance,Chief's Crown,Real Crafty Lady,Mr. Prospector,Raise a Native,Gold Digger,In Reality,Princess Roycraft,Danzig,Siz Crowns,Alleged,Runaway Bride
ステイゴールド(01年香港ヴァーズ1着),サンデーサイレンス,ゴールデンサッシュ,ダイナサッシュ,ディクタス,Wishing Well,Halo,hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ
マンハッタンカフェ(02年凱旋門賞13着),サンデーサイレンス,サトルチェンジ,Santa Luciana,law Society,Wishing Well,Halo,Haik to Reason,Cosmah,Understanding,Mountain Flower,Alleged,Bold Bikini,Luciano,Suleika
エイシンプレストン(02年QEIIカップ1着),Green Dancer,Warranty Applied,Impiled Warranty,Monteverdi,Green Valley,Nijinsky,Northern Dancer,Flaming Page,Val de Loir,Sly Pola,Lyphard,Janina,Blood Royal,Garden Fresh
