スペシャルウィーク,サンデーサイレンス,キャンペンガール,レディーシラオキ,マルゼンスキー,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Nijinsky,シル,セントクレスピン,ミスアシヤガワ
サイレンススズカ,サンデーサイレンス,ワキア,Rascal Rascal,Miswaki,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Mr. Prospector,Hopespringseternal,Ack Ack,Savage Bunny
トウカイテイオー,シンボリルドルフ,トウカイナチュラル,トウカイミドリ,ナイスダンサー,スイートルナ,パーソロン,Milesian,Paleo,スピードシンボリ,ダンスタイム,Northern Dancer,Nize Princess,ファバージ,トウカイクイン,
マルゼンスキー,Nijinsky,シル,Quill,Buckpasser,Flaming Page,Northern Dancer,Nearctic,Natalma,Bull Page,Flaring Top,Tom Fool,Busanda,Princequillo,Quick Touch
オグリキャップ,ダンシングキャップ,ホワイトナルビー,ネヴアーナルビー,シルバーシャーク,Merry Madcap,Native Dancer,Polynesian,Geisha,Grey Soverign,Croft Lady,Buisson Ardent,Palsaka,ネヴァービート,センジユウ
タイキシャトル,Devil's Bag,ウェルシュマフィン,Mufftys,Caeleon,Ballade,Halo,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail
メジロマックイーン,メジロティターン,メジロオーロラ,メジロアイリス,リマンド,シエリル,メジロアサマ,パーソロン,スウェート,スノップ,Chanel,Alcide,Admonish,ヒンドスタン,アサマユリ
シンボリルドルフ,パーソロン,スイートルナ,ダンスタイム,スピードシンボリ,Paleo,Milesian,My Babu,Oarflake,Pharis,Calonice,ロイヤルチャレンヂャー,スイートイン,Palestine,Samaritaine
ライスシャワー,リアルシャダイ,ライラックポイント,クリカツラ,マルゼンスキー,Desert Vixen,Roberto,Hail to Reason,Bramalea,In Reality,Desert Trial,Nijinsky,シル,ティエポロ,クリノホシ
ゴールドシップ,ステイゴールド,ポイントフラッグ,パストラリズム,メジロマックイーン,ゴールデンサッシュ,サンデーサイレンス,halo,Wishing Well,ディクタス,ダイアンサッシュ,メジロティターン,メジロオーロラ,プルラリズム,トクノエイティー
ウオッカ,タニノギムレット,タニノシスター,エナジートウショウ,ルション,タニノクリスタル,ブライアンズタイム,Roberto,Kelley's Day,クリスタルパレス,タニノシーバード,Riverman,ベルドリーヌ,トウショウボーイ,コーニストウショウ
ダイワスカーレット,アグネスタキオン,スカーレットブーケ,スカーレットインク,ノーザンテースト,アグネスフローラ,サンデーサイレンス,Halo,Wishing Well,ロイヤルスキー,アグネスレディ,Northern Dancer,Lady Victoria,Crimson Satan,Consentida
グラスワンダー,Silver Hawk,Ameriflora,Graceful Touch,Danzig,Gris Vitesse,Roberto,hail to Reason,Bramalea,Amerigo,Matchiche,Northern Dancer,Pas de Nom,His Majesty,Pi Phi Gal
エルコンドルパサー,Kingmambo,サドラーズギャル,Glenveagh,Sadler's Wells,Miesque,Mr. Prospector,Raise A Native,Gold Digger,Nureyev,Pasadoble,Northern Dancer,Fairy bridge,Seattle Slew,Lisadell
エアグルーヴ,トニービン,ダイナカール,シャダイフェザー,ノーザンテースト,Severn Bridge,カンパラ,Kalamoun,State Pension,Hornbeam,Priddy Fair,Northern Dancer,Lady Victoria,ガーサント,パロクサイド
マヤノトップガン,ブライアンズタイム,アルプミープリーズ,Swiss,Blushing Groom,Kelley's Day,Roberto,Hail to Reason,Bramalea,Graustark,Golden Trail,Red God,Runaway Bride,Vaguely Noble,Gala Host
スーパークリーク,ノーアテンション,ナイスデイ,サチノヒメ,インターメゾ,No No Nanette,Green Dancer,Nijinsky,Green Valley,Sovereign Path,Nuclea,Hornbeam,Plaza,Sayajirao,セントマキシム
メジロライアン,アンバーシャダイ,メジロチェイサー,シエリル,メジロサンマン,クリアアンバー,ノーザンテースト,Northern Dancer,Lady Victoria,Ambiopoise,One Clear Call,Charlottesville,パラデイシア,スノッブ,Chanel
アグネスタキオン,サンデーサイレンス,アグネスフローラ,アグネスレディ,ロイヤルスキー,Wishing Well,Halo,hail to reason,Cosmah,Understanding,Mountain Flower,Raja baba,Coz o'Nijinsky,リマンド,イコマエイカン
ウイニングチケット,トニービン,パワフルレディ,ロッチテスコ,マルゼンスキー,Severn Bridge,カンパラ,Kalamoun,State Pension,Hornbeam,Priddy Fair,Nijinsky,シル,テスコボーイ,スターロッチ
サクラバクシンオー,サクラユタカオー,サクラハゴロモ,クリアアンバー,ノーザンテースト,アンジェリカ,テスコボーイ,Princely Gift,Suncount,ネヴァービート,スターハイネス,Northern Dancer,Lady Victoria,Amiopoise,One Clear Call
ハルウララ,ニッポーテイオー,ヒロイン,ビアレスレディ,ラッキーソブリン,チヨダマサコ,リィフォー,Lyphard,Klaizia,ラバージョン,ミスオーハヤブサ,Nijinsky,Sovereign,テスコボーイ,イーストサイド
マチカネフクキタル,クリスタルグリッターズ,アテナトウショウ,グレイトウショウ,トウショウボーイ,Tales to Tell,Blushing Groom,Red God,Runaway Bride,Donut King,Fleeting Doll,テスコボーイ,ソシアルバターフライ,シルバーシャーク,ローズトウショウ
ナイスネイチャ,ナイスダンサー,ウラカワミユキ,ケンマルミドリ,ハビトニー,Nice Princess,Northern Dancer,Nearctic,Natalma,Le Beau Prince,Happy Night,Habitat,Courteous Lady,ケンマルチカラ,ケンミドリ
キングヘイロー,ダンシングブレーヴ,グッパイヘイロー,Pound Foolish,Halo,Navajo Princess,Lyphard,Northern Dancer,Goofed,Drone,Olmec,Hail to Reason,Cosmah,Sir Lvor,Squander
テイエムオペラオー,オペラハウス,ワンスウエド,Noura,Blushing Groom,Colorspin,Sadler's Wells,Northern Dancer,Fairy Bridge,High Top,Reprocolor,Red God,Runaway Bride,Key to the Kingdom,River Guide
ナリタブライアン,ブライアンズタイム,パシフィカス,Pacific Princess,Northern Dancer,Kelley's Day,Roberto,Hail to Reason,Bramalea,Graustark,Golden Trail,Nearctic,Natalma,Damascus,Fiji
ヒシアマゾン,Theatrical,Katies,Mortefontaine,ノノアルコ,ツリーオブノレッジ,Nureyev,Northern Dancer,Special,Sassafras,Sensibillity,Nearctic,Seximee,ポリック,Brabantia
フジキセキ,サンデーサイレンス,ミルレーサー,Marston's Mill,Le Fabuleux,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millcent
セイウンスカイ,シェリフズスター,シスターミル,スイトアンジュレ,ミルジョージ,Castle Moon,ポツセ,Forli,In Hot Pursuit,Kalamoun,Fortheringay,Mill Reef,Miss Charisma,モガミ,アンジュレスイート
ユキノビジン,サクラユタカオー,ファティマ,ビューティワン,ロイヤルスキー,アンジェリカ,テスコボーイ,Princely Gift,Suncourt,ネヴァービート,スターハイネス,Raja Baba,Coz o'Nijinsky,ダッパーダン,ミスジェーン
タマモクロス,シービークロス,クリーンシャトー,クインビー,シャトーゲイ,ズイシヨウ,フォルティノ,Grey Sovereign,Ranavalo,パーソロン,キムラス,Swaps,Banquet Bell,テューターペリオット,コーサ
シーキングザパール,Seeking the Gold,ページプルーフ,バーブスボールド,Seattle Slew,Con Game,Mr. Prospector,Raise a Native,Gold Digger,Buckpasser,Broadway,Bold Reasoning,My Charmer,Bold Forbes,Goofed
マンハッタンカフェ,サンデーサイレンス,サトルチェンジ,Santa Luciana,Law Society,Wishing Well,halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Alleged,Bold Bikini,Luciano,Suleika
トーセンジョーダン,ジャングルポケット,エヴリンウィスパー,クラフティワイフ,ノーザンテースト,ダンスチャーマー,トニービン,カンパラ,Severn Bridge,Nureyev,Skillful Joy,Northern Dancer,Lady Victoria,Crafty Prospector,Wife Mistress
カワカミプリンセス,キングヘイロー,タカノセクレタリー,Summer Secretary,Seattle Slew,グッパイヘイロー,ダンシングブレーヴ,Lyphard,Navajo Princess,Halo,Pound Doolish,Bold Reasoning,My Charmer,Secretariat,Golden Summer
ファインモーション,デインヒル,Cocotte,Gay Milly,Troy,Razyana,Danzig,Northern Dancer,Pas de Nom,His Majesty,Spring Adieu,Petingo,La Milo,Mill Reef,Gally
スマートファルコン,ゴールドアリュール,ケイショウハーブ,キョウエイシラユキ,ミシシッピアン,ニキーヤ,サンデーサイレンス,Halo,Wishing Well,Nureyev,Reluctant Guest,Vaguely Noble,Gasala,クラウンドプリンス,アリアーン
ナリタタイシン,リヴリア,タイシンリリィ,インターラーケン,ラディガ,Dahilia,Riverman,Never bend,River Lady,Vaguely Noble,Charming Alibi,Graustank,Celia,サミーディヴィス,シルヴァーファー
